,High
2013-11-28,534.1099853515625
2013-11-29,538.739990234375
2013-11-30,539.489990234375
2013-12-01,537.25
2013-12-02,533.25
2013-12-03,512.3300170898439
2013-12-04,476.5799865722656
2013-12-05,489.4400024414063
2013-12-06,503.7200012207031
2013-12-07,522.6900024414061
2013-12-08,521.5
2013-12-09,519.4099731445311
2013-12-10,510.0
2013-12-11,510.8599853515625
2013-12-12,515.8400268554689
2013-12-13,502.8500061035156
2013-12-14,518.3499755859375
2013-12-15,529.9500122070311
2013-12-16,526.1300048828125
2013-12-17,529.4400024414061
2013-12-18,532.4500122070311
2013-12-19,527.9199829101561
2013-12-20,528.2999877929689
2013-12-21,546.969970703125
2013-12-22,546.239990234375
2013-12-23,549.780029296875
2013-12-24,543.5499877929689
2013-12-25,541.2100219726561
2013-12-26,534.5599975585939
2013-12-27,542.7999877929689
2013-12-28,520.280029296875
2013-12-29,511.4800109863281
2013-12-30,512.7999877929689
2013-12-31,520.7999877929689
2014-01-01,532.5999755859375
2014-01-02,545.9099731445311
2014-01-03,551.5
2014-01-04,542.0
2014-01-05,539.3900146484375
2014-01-06,541.7899780273439
2014-01-07,550.8200073242189
2014-01-08,553.2000122070311
2014-01-09,552.25
2014-01-10,563.0
2014-01-11,570.9400024414062
2014-01-12,579.0
2014-01-13,573.0
2014-01-14,565.25
2014-01-15,569.1500244140625
2014-01-16,619.4500122070312
2014-01-17,609.8499755859375
2014-01-18,614.7100219726562
2014-01-19,617.22998046875
2014-01-20,627.5399780273438
2014-01-21,630.719970703125
2014-01-22,628.6300048828125
2014-01-23,629.8900146484375
2014-01-24,645.9299926757812
2014-01-25,657.0
2014-01-26,662.260009765625
2014-01-27,661.9600219726562
2014-01-28,660.0
2014-01-29,675.9600219726562
2014-01-30,675.6400146484375
2014-01-31,667.0
2014-02-01,649.989990234375
2014-02-02,653.25
2014-02-03,664.8800048828125
2014-02-04,672.8599853515625
2014-02-05,668.8699951171875
2014-02-06,682.77001953125
2014-02-07,675.7999877929688
2014-02-08,679.7000122070312
2014-02-09,680.989990234375
2014-02-10,681.2899780273438
2014-02-11,681.0
2014-02-12,684.8200073242188
2014-02-13,682.7899780273438
2014-02-14,674.780029296875
2014-02-15,675.4600219726562
2014-02-16,679.989990234375
2014-02-17,679.0
2014-02-18,668.530029296875
2014-02-19,657.8800048828125
2014-02-20,658.5900268554688
2014-02-21,671.5
2014-02-22,677.3499755859375
2014-02-23,682.5
2014-02-24,676.8400268554688
2014-02-25,669.9000244140625
2014-02-26,668.489990234375
2014-02-27,666.5999755859375
2014-02-28,664.6799926757812
2014-03-01,675.5
2014-03-02,696.4400024414062
2014-03-03,695.489990234375
2014-03-04,687.75
2014-03-05,657.719970703125
2014-03-06,646.9099731445312
2014-03-07,639.7899780273438
2014-03-08,630.0
2014-03-09,624.1400146484375
2014-03-10,619.8499755859375
2014-03-11,625.989990234375
2014-03-12,620.8800048828125
2014-03-13,602.25
2014-03-14,584.6199951171875
2014-03-15,584.0
2014-03-16,578.4500122070312
2014-03-17,588.8099975585938
2014-03-18,600.0999755859375
2014-03-19,608.5
2014-03-20,604.5
2014-03-21,603.3900146484375
2014-03-22,638.0599975585938
2014-03-23,593.0
2014-03-24,581.7999877929688
2014-03-25,571.5599975585938
2014-03-26,556.0
2014-03-27,538.989990234375
2014-03-28,529.4500122070311
2014-03-29,493.5
2014-03-30,498.3800048828125
2014-03-31,504.6600036621094
2014-04-01,509.2999877929688
2014-04-02,516.75
2014-04-03,524.4500122070311
2014-04-04,537.47998046875
2014-04-05,541.2000122070311
2014-04-06,535.9500122070311
2014-04-07,560.6500244140625
2014-04-08,556.9099731445311
2014-04-09,554.27001953125
2014-04-10,559.3900146484375
2014-04-11,562.5
2014-04-12,564.8099975585938
2014-04-13,579.25
2014-04-14,585.0
